R1,R2,G1,G2,B1,B2,H1,H2,S1,S2,V1,V2,diff_R,diff_G,diff_B,diff_H,diff_S,diff_V,ratio_R,ratio_G,ratio_B,ratio_H,ratio_S,ratio_V,layer_count
229,233,104,121,48,47,0.0515653775322283,0.0663082437275985,0.7903930131004366,0.7982832618025751,0.8980392156862745,0.9137254901960784,-4,-17,1,-0.0147428661953702,-0.007890248702138503,-0.015686274509803866,0.9828326179835694,0.8595041321603716,1.021276595527388,0.7776615222603278,0.9901159663732877,0.9828326072694286,4
226,231,100,119,49,47,0.0480225988700565,0.0652173913043478,0.7831858407079646,0.7965367965367965,0.8862745098039215,0.9058823529411764,-5,-19,2,-0.017194792434291298,-0.013350955828831945,-0.019607843137254832,0.9783549783126253,0.8403361343831651,1.0425531912675419,0.7363464031010849,0.9832387333274909,0.978354967554956,4
217,222,92,109,44,41,0.046242774566474,0.0626151012891344,0.7972350230414748,0.8153153153153153,0.8509803921568627,0.8705882352941177,-5,-17,3,-0.016372326722660403,-0.01808029227384056,-0.019607843137254943,0.9774774774334469,0.844036697170272,1.073170731445568,0.7385241935120302,0.9778241599140207,0.9774774662496957,4
215,223,93,110,42,40,0.0491329479768786,0.0637522768670309,0.8046511627906977,0.820627802690583,0.8431372549019608,0.8745098039215686,-8,-17,2,-0.0146193288901523,-0.015976639899885292,-0.03137254901960784,0.9641255604948822,0.845454545377686,1.0499999997375,0.7706852630926939,0.9805311864248143,0.9641255495133625,4
208,213,83,101,39,37,0.0433925049309664,0.0606060606060605,0.8125,0.8262910798122065,0.8156862745098039,0.8352941176470589,-5,-18,2,-0.017213555675094097,-0.013791079812206508,-0.019607843137254943,0.9765258215503978,0.8217821781364573,1.0540540537691745,0.7159762132248717,0.9833096471906276,0.976525809905442,4
210,217,85,104,41,36,0.0433925049309664,0.0626151012891344,0.8047619047619048,0.8341013824884792,0.8235294117647058,0.8509803921568627,-7,-19,5,-0.019222596358168004,-0.029339477726574414,-0.027450980392156876,0.9677419354392746,0.817307692229105,1.1388888885725308,0.6930037180736641,0.9648250344732764,0.9677419241117884,4
212,220,90,105,39,38,0.0491329479768786,0.0613553113553113,0.8160377358490566,0.8272727272727273,0.8313725490196079,0.8627450980392157,-8,-15,1,-0.012222363378432695,-0.011234991423670682,-0.03137254901960784,0.963636363592562,0.8571428570612245,1.026315789203601,0.8007935887475447,0.9864192292124733,0.9636363524669422,4
205,213,84,101,39,38,0.0451807228915662,0.06,0.8097560975609756,0.8215962441314554,0.803921568627451,0.8352941176470589,-8,-17,1,-0.014819277108433795,-0.011840146570479826,-0.03137254901960784,0.9624413145088055,0.8316831682344868,1.026315789203601,0.7530119226907829,0.9855888381781918,0.962441303031806,4
210,218,89,105,42,37,0.0466269841269841,0.0626151012891344,0.8,0.8302752293577981,0.8235294117647058,0.8549019607843137,-8,-16,5,-0.015988117162150303,-0.030275229357798028,-0.03137254901960784,0.9633027522493898,0.8476190475383221,1.1351351348283418,0.7446602452190368,0.963535899997192,0.9633027410255871,4
211,223,89,110,40,40,0.0477582846003898,0.0637522768670309,0.8104265402843602,0.820627802690583,0.8274509803921568,0.8745098039215686,-12,-21,0,-0.015993992266641104,-0.010201262406222766,-0.04705882352941182,0.9461883407647449,0.8090909090173554,0.99999999975,0.7491226895122989,0.9875689414269594,0.9461883299875324,4
