R1,R2,G1,G2,B1,B2,H1,H2,S1,S2,V1,V2,diff_R,diff_G,diff_B,diff_H,diff_S,diff_V,ratio_R,ratio_G,ratio_B,ratio_H,ratio_S,ratio_V,layer_count
250,254,124,155,63,62,0.0558659217877094,0.0837988826815642,0.7490196078431373,0.7568627450980392,0.9803921568627452,0.996078431372549,-4,-31,1,-0.027932960893854802,-0.007843137254901933,-0.015686274509803866,0.9842519684651869,0.7999999999483871,1.0161290320941727,0.6666665871111198,0.9896372926239632,0.9842519586226673,4
250,255,124,152,63,60,0.0558659217877094,0.0782122905027933,0.7490196078431373,0.7647058823529411,0.9803921568627452,1.0,-5,-28,3,-0.0223463687150839,-0.015686274509803866,-0.019607843137254832,0.9803921568242984,0.8157894736305401,1.049999999825,0.7142856229591941,0.9794871666785011,0.9803921470588237,4
247,255,116,147,62,57,0.0502793296089385,0.0782122905027933,0.7490196078431373,0.7764705882352941,0.9686274509803922,1.0,-8,-31,5,-0.027932960893854795,-0.027450980392156876,-0.03137254901960784,0.9686274509424068,0.789115646204822,1.087719298054786,0.6428570606632753,0.9646464522229875,0.9686274412941178,4
246,255,116,147,64,59,0.0502793296089385,0.0726256983240223,0.7411764705882353,0.7686274509803922,0.9647058823529412,1.0,-9,-31,5,-0.022346368715083796,-0.027450980392156876,-0.03529411764705881,0.9647058823151096,0.789115646204822,1.0847457625280092,0.6923075969822615,0.9642857017401605,0.9647058727058825,4
247,255,121,150,62,59,0.0558659217877094,0.0782122905027933,0.7490196078431373,0.7686274509803922,0.9686274509803922,1.0,-8,-29,3,-0.0223463687150839,-0.019607843137254943,-0.03137254901960784,0.9686274509424068,0.8066666666128889,1.050847457449009,0.7142856229591941,0.9744897832400563,0.9686274412941178,4
249,255,120,152,65,59,0.0502793296089385,0.0782122905027933,0.7372549019607844,0.7686274509803922,0.976470588235294,1.0,-6,-32,6,-0.027932960893854795,-0.03137254901960784,-0.02352941176470602,0.9764705881970012,0.7894736841585872,1.1016949150675093,0.6428570606632753,0.9591836609902125,0.9764705784705883,4
245,252,118,146,63,58,0.0502793296089385,0.0782122905027933,0.7411764705882353,0.7686274509803922,0.9607843137254902,0.9882352941176472,-7,-28,5,-0.027932960893854795,-0.027450980392156876,-0.027450980392156987,0.972222222183642,0.8082191780268343,1.0862068963644471,0.6428570606632753,0.9642857017401605,0.9722222123842592,4
245,253,122,142,63,63,0.0558659217877094,0.0670391061452514,0.7411764705882353,0.7490196078431373,0.9607843137254902,0.992156862745098,-8,-20,0,-0.011173184357541999,-0.007843137254901933,-0.03137254901960773,0.9683794466020403,0.8591549295169608,0.9999999998412699,0.833333209027795,0.9895287826005319,0.9683794368799702,4
243,253,116,144,61,61,0.0502793296089385,0.0726256983240223,0.7490196078431373,0.7607843137254902,0.9529411764705882,0.992156862745098,-10,-28,0,-0.022346368715083796,-0.0117647058823529,-0.039215686274509776,0.9604743082624319,0.8055555554996141,0.9999999998360656,0.6923075969822615,0.9845360695331599,0.9604742986197254,4
223,235,98,131,78,76,0.0223463687150838,0.0558659217877094,0.6509803921568628,0.6784313725490196,0.8745098039215686,0.9215686274509804,-12,-33,2,-0.033519553072625594,-0.027450980392156876,-0.04705882352941182,0.9489361701723856,0.7480916029963288,1.0263157893386428,0.3999999284000135,0.9595375581108625,0.948936159915799,5
